315 212.401 -327
316 212.404 -317
317 212.408 -410
318 212.412 -423
319 212.415 -424
320 212.419 -515
321 212.422 -445
322 212.426 -322
323 212.429 -266
324 212.433 -352
325 212.436 -442
326 212.440 -477
327 212.443 -329
328 212.447 -276
329 212.450 -329
330 212.454 -359
331 212.457 -379
332 212.461 -407
333 212.465 -461
334 212.468 -418
335 212.472 -459
336 212.475 -426
337 212.479 -377
338 212.482 -440
339 212.486 -495
340 212.489 -449
341 212.493 -422
342 212.496 -379
343 212.500 -358
344 212.503 -346
345 212.507 -259
346 212.511 -337
347 212.514 -389
348 212.518 -494
349 212.521 -439
350 212.525 -422
351 212.528 -480
352 212.532 -455
353 212.535 -468
354 212.539 -421
355 212.542 -379
356 212.546 -410
357 212.550 -407
358 212.553 -425
359 212.557 -448
360 212.560 -378
361 212.564 -313
362 212.567 -271
363 212.571 -259
364 212.574 -419
365 212.578 -463
366 212.581 -459
367 212.585 -353
368 212.588 -332
369 212.592 -325
370 212.596 -358
371 212.599 -359
372 212.603 -294
373 212.606 -248
374 212.610 -300
375 212.613 -408
376 212.617 -473
377 212.620 -488
378 212.624 -442
379 212.627 -331
380 212.631 -373
381 212.635 -438
382 212.638 -446
383 212.642 -518
384 212.645 -432
385 212.649 -460
386 212.652 -469
387 212.656 -418
388 212.659 -439
389 212.663 -312
390 212.667 -238
391 212.670 -332
392 212.674 -438
393 212.677 -488
394 212.681 -460
395 212.684 -505
396 212.688 -608
397 212.691 -527
398 212.695 -545
399 212.698 -484
400 212.702 -358
401 212.706 -329
402 212.709 -371
403 212.713 -513
404 212.716 -570
405 212.720 -450
406 212.723 -427
407 212.727 -388
408 212.730 -435
409 212.734 -397
410 212.738 -394
411 212.741 -429
412 212.745 -459
413 212.748 -479
414 212.752 -494
415 212.755 -468
416 212.759 -491
417 212.762 -449
418 212.766 -356
419 212.770 -411
420 212.773 -351
421 212.777 -283
422 212.780 -319
423 212.784 -294
424 212.787 -314
425 212.791 -334
426 212.794 -426
427 212.798 -490
428 212.802 -501
429 212.805 -514
430 212.809 -501
431 212.812 -475
432 212.816 -502
433 212.819 -551
434 212.823 -547
435 212.826 -530
436 212.830 -501
437 212.834 -520
438 212.837 -478
439 212.841 -394
440 212.844 -399
441 212.848 -438
442 212.851 -451
443 212.855 -490
444 212.858 -568
445 212.862 -592
446 212.866 -492
447 212.869 -406
448 212.873 -418
449 212.876 -441
450 212.880 -413
451 212.883 -478
452 212.887 -500
453 212.890 -465
454 212.894 -441
455 212.898 -518
456 212.901 -583
457 212.905 -544
458 212.908 -475
459 212.912 -354
460 212.915 -436
461 212.919 -489
462 212.923 -433
463 212.926 -425
464 212.930 -414
465 212.933 -307
466 212.937 -359
467 212.940 -378
468 212.944 -457
469 212.948 -454
470 212.951 -495
471 212.955 -494
472 212.958 -534
473 212.962 -521
474 212.965 -501
475 212.969 -500
476 212.972 -511
477 212.976 -502
478 212.980 -577
479 212.983 -529
480 212.987 -506
481 212.990 -581
482 212.994 -583
483 212.997 -510
484 213.001 -367
485 213.005 -312
486 213.008 -359
487 213.012 -304
488 213.015 -379
489 213.019 -487
490 213.022 -464
491 213.026 -477
492 213.030 -422
493 213.033 -383
494 213.037 -485
495 213.040 -488
496 213.044 -525
497 213.047 -563
498 213.051 -634
499 213.055 -501
500 213.058 -286
501 213.062 -420
502 213.065 -471
503 213.069 -441
504 213.072 -402
505 213.076 -440
506 213.080 -394
507 213.083 -323
508 213.087 -516
509 213.090 -591
510 213.094 -575
511 213.097 -483
512 213.101 -440
513 213.105 -358
514 213.108 -353
515 213.112 -336
516 213.115 -302
517 213.119 -343
518 213.122 -450
519 213.126 -496
520 213.130 -492
521 213.133 -583
522 213.137 -526
523 213.140 -461
524 213.144 -472
525 213.147 -489
526 213.151 -463
527 213.155 -446
528 213.158 -434
529 213.162 -520
530 213.165 -502
531 213.169 -509
532 213.173 -449
533 213.176 -473
534 213.180 -450
535 213.183 -449
536 213.187 -497
537 213.190 -537
538 213.194 -536
539 213.198 -529
540 213.201 -481
541 213.205 -511
542 213.208 -508
543 213.212 -511
544 213.215 -453
545 213.219 -511
546 213.223 -504
547 213.226 -402
548 213.230 -318
549 213.233 -244
550 213.237 -351
551 213.241 -386
552 213.244 -422
553 213.248 -467
554 213.251 -455
555 213.255 -374
556 213.258 -337
557 213.262 -393
558 213.266 -508
559 213.269 -498
560 213.273 -376
561 213.276 -470
562 213.280 -532
563 213.284 -465
564 213.287 -583
565 213.291 -561
566 213.294 -550
