0,1413,38,1801,42,1216,36
2,1345,37,1749,42,1216,35
4,1320,36,1812,43,1249,35
6,1376,37,1748,42,1229,35
8,1197,35,1789,42,1189,34
10,580,24,1794,42,1201,35
12,24,5,1703,41,1156,34
14,0,0,1488,39,1121,33
16,0,0,1151,34,1014,32
18,0,0,572,24,1015,32
20,0,0,57,8,859,29
22,0,0,0,0,813,29
24,0,0,0,0,528,23
26,0,0,0,0,16,4
